filename,chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zero_crossing_rate_mean,label,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,original_wav
75_-15_1.2__1-chunk_0000.wav,0.3422939,2199.8632631633172,1962.0358802361982,4124.831875887784,0.10641202059659091,NO_drone,-616.80444,69.22543,109.204315,34.741577,-22.46602,36.119347,45.87541,18.917841,-27.200624,29.300804,-30.627594,22.548239,-43.951134,17.335892,15.7501335,8.269945,-32.651245,12.868421,1.6001514,9.060207,-15.521973,11.382268,-19.190084,10.783227,14.6990385,6.8804893,75_-15_1.2__1.wav
75_-15_1.2__1-chunk_0001.wav,0.4905717,4840.209790906871,2045.1198233197017,6848.32763671875,0.3860560825892857,NO_drone,-732.9248,76.16116,-0.3118041,35.373524,9.031942,9.325816,58.698467,27.520475,-57.432133,34.263386,23.970707,9.892097,-24.645304,16.12862,24.218145,9.8622465,-10.702287,8.77551,8.175647,4.104519,1.1074933,4.289624,-3.304601,4.7948728,11.539061,7.741016,75_-15_1.2__1.wav
90_0_2.4__1-chunk_0000.wav,0.34067845,2008.8070688166322,1838.6239196603922,3691.476162997159,0.0965576171875,NO_drone,-651.4054,62.0705,109.74256,35.436573,-24.040123,34.99444,46.105484,18.567217,-14.186843,28.62892,-33.4146,24.321371,-40.70956,17.187784,5.154134,7.717424,-27.136375,12.840615,-5.236937,7.683158,-16.20049,10.907005,-13.477789,9.895651,13.344524,8.621477,90_0_2.4__1.wav
90_0_2.4__1-chunk_0001.wav,0.51215065,4610.020822893423,2064.017840783916,6804.4921875,0.3577067057291667,NO_drone,-746.4965,59.74651,3.3868513,32.13927,7.99859,7.183138,66.01268,26.135462,-49.84943,22.615948,27.571928,12.467858,-19.483683,15.119661,17.117725,7.0993834,-3.6830008,7.3307004,3.3624763,4.5098047,-1.4941803,2.810033,-0.47554517,3.5399168,8.34068,8.124324,90_0_2.4__1.wav
90_0_1.2-chunk_0000.wav,0.5627207,5877.331623411621,2957.1309074538253,9553.89071377841,0.5372092507102273,NO_drone,-368.88556,32.880775,-21.929417,3.534021,14.91658,3.4514964,14.987485,4.6944094,-10.267323,3.4042058,-26.1416,3.0488734,-24.300997,2.6742976,14.882932,4.43184,-5.123651,3.7835696,-11.786362,3.6953914,-11.543261,3.7786572,-12.676739,3.8217843,4.996702,3.1326857,90_0_1.2.wav
90_0_1.2-chunk_0001.wav,0.54320574,5827.711453415603,2956.161015856462,9515.228826349432,0.5439453125,NO_drone,-362.11,7.447326,-19.320478,3.6081061,16.490791,2.5553503,16.290615,2.6137333,-9.294979,3.5856895,-25.081396,2.802458,-25.734495,3.2910585,14.879281,2.5715613,-4.3262744,3.1426935,-11.66634,3.3359087,-11.165872,2.4722345,-12.688617,2.8974974,5.380032,3.1924677,90_0_1.2.wav
90_0_1.2-chunk_0002.wav,0.5575851,3642.4667380649034,3093.971803465222,7583.2763671875,0.13639322916666666,NO_drone,-668.7564,188.47658,47.894386,39.218376,29.995762,10.365559,26.067444,8.05284,4.072608,7.9811344,0.5824337,15.147217,-4.981843,12.791634,10.988916,5.1854267,5.651903,5.89597,3.284267,7.6000695,-0.62192845,4.929393,3.6434572,5.249687,5.10404,2.319134,90_0_1.2.wav
45_0_2.4__2-chunk_0000.wav,0.30937493,2213.163333375106,2306.535694316184,4927.922474254261,0.08832341974431818,NO_drone,-674.203,97.766174,90.5795,21.954365,-0.8053854,32.811966,32.121902,27.37718,-46.614025,26.108324,-7.1763186,18.928228,-31.238665,13.872056,3.5408633,14.0062475,-6.317156,9.667226,0.12698212,12.319402,-16.871153,10.683968,2.29155,5.1299624,2.9448538,6.9134154,45_0_2.4__2.wav
45_0_2.4__2-chunk_0001.wav,0.29167992,1854.9593247054845,2210.4032532165934,4133.1787109375,0.06914605034722222,NO_drone,-717.6888,79.74045,109.13011,24.088156,6.60584,26.124245,4.160663,26.704973,-45.540073,24.203995,0.77628493,8.548139,-11.308189,19.087229,7.9886093,8.976348,-1.4955131,8.81262,7.913425,7.783695,-11.768493,10.474925,3.7076938,9.345409,-2.7798955,8.617715,45_0_2.4__2.wav
75_0_1.2-chunk_0000.wav,0.64659274,5113.730185749471,3131.593013110171,9210.093550248579,0.4209872159090909,NO_drone,-388.36853,31.604197,1.3780509,3.9764264,7.0117464,3.3608687,18.794752,3.6897657,-10.799854,3.5910692,-27.947668,2.6141355,-16.350353,3.593406,3.5696535,3.2821968,3.4579992,3.2255986,-20.413988,3.2694466,-9.090933,3.4533844,-6.352347,3.3287983,-6.684258,2.843212,75_0_1.2.wav
75_0_1.2-chunk_0001.wav,0.65942466,5120.933242432229,3132.0379581580955,9216.2109375,0.43119673295454547,NO_drone,-383.71545,8.037312,0.96106964,2.6946397,7.1347933,3.043977,20.080227,3.543365,-9.314791,3.9590921,-26.966545,2.8483102,-16.273216,2.3539996,2.790351,3.0099769,3.7882302,3.1466756,-19.581903,3.2517283,-10.471208,3.4617355,-7.5940065,3.0487506,-7.022572,2.9070554,75_0_1.2.wav
75_0_1.2-chunk_0002.wav,0.64794797,3748.431835308253,3165.262267377941,7827.3193359375,0.1597222222222222,NO_drone,-677.65393,185.08032,46.406048,26.515326,22.736458,8.054097,23.490921,1.5079182,0.3348018,10.572027,0.22906536,17.305664,-4.163378,9.4392185,10.408726,3.0809376,1.0206956,5.573266,-2.4146628,14.145597,0.49924505,4.064206,1.3012701,1.7948022,1.8874365,1.8997668,75_0_1.2.wav
45_-15_2.4__2-chunk_0000.wav,0.26933503,1698.6964150858928,1944.6149104815192,3685.114080255682,0.06607333096590909,NO_drone,-685.9897,92.16275,110.938484,20.917583,-9.341014,36.119747,31.447712,27.607212,-36.26813,24.618237,-21.069824,18.716642,-17.43683,12.186147,-6.8579173,13.823314,1.4194365,9.031464,0.39639238,12.179006,-15.679833,10.285557,3.5136645,4.2695055,-3.3865967,7.138907,45_-15_2.4__2.wav
45_-15_2.4__2-chunk_0001.wav,0.2321981,1412.3638549196098,1785.5357405904526,2633.7799072265625,0.05792236328125,NO_drone,-710.69586,68.82988,129.84854,22.154615,-3.618616,25.573303,2.005537,23.804228,-40.349182,17.441757,-11.5621395,10.308854,-0.44489932,14.752652,-2.48351,13.315041,4.797144,8.893443,4.820875,8.986349,-12.562242,9.952492,3.221734,6.6879025,-7.2141924,8.955214,45_-15_2.4__2.wav
45_-15_2.4__3-chunk_0000.wav,0.28492263,1335.0143262291397,1616.6564943519804,2677.7027476917615,0.064208984375,NO_drone,-670.7139,57.9917,153.02914,43.59274,11.907703,23.812302,17.376259,26.367899,-32.870598,22.353441,3.6342,20.823687,-11.111752,12.627074,-24.183918,14.780088,-6.3766356,8.25191,-4.794404,8.090101,-19.270555,10.412023,-8.561801,11.066192,-4.6397033,8.388602,45_-15_2.4__3.wav
45_-15_2.4__3-chunk_0001.wav,0.39277118,1678.7186323247804,1835.73368076289,3267.4295176630435,0.08685037364130435,NO_drone,-715.69415,56.65385,141.7996,55.86117,20.085058,24.597479,13.513934,18.461428,-31.258326,14.795059,-9.102069,19.781757,-15.247424,9.292508,-10.217384,14.165729,-0.9565436,9.247215,3.529345,6.593384,-12.259508,8.930381,-1.8223517,8.63254,-1.4768142,7.923922,45_-15_2.4__3.wav
45_-30_1.2-chunk_0000.wav,0.6290813,5137.47516951364,3072.854146319798,8111.410799893466,0.44026322798295453,NO_drone,-436.91263,35.095886,28.266096,2.649864,44.81328,3.028166,-12.719682,3.9810748,-34.218204,3.0606265,8.02956,3.1937032,-21.851616,4.161144,1.5231885,3.1977558,-18.85598,3.0450046,4.890428,2.6949217,-10.190459,3.1940038,-1.9607098,2.6927624,-11.860745,2.817317,45_-30_1.2.wav
45_-30_1.2-chunk_0001.wav,0.63162935,5126.864096932407,3077.923650988771,8121.443314985795,0.4490966796875,NO_drone,-430.39777,7.585891,28.652086,2.7766082,45.25384,3.802305,-13.023652,2.2769969,-34.64711,3.1513972,8.274723,3.5575147,-18.946114,3.2969694,5.075862,2.6110437,-17.752892,3.0421507,4.9247594,3.225834,-9.17317,3.7789774,-3.3880136,3.59249,-11.911524,3.5385861,45_-30_1.2.wav
45_-30_1.2-chunk_0002.wav,0.60707206,3781.545479969389,3137.8647014274015,7512.6953125,0.1684027777777778,NO_drone,-695.3939,161.3929,52.25971,22.503208,31.695692,8.814043,11.467045,13.93752,-8.660984,16.49933,7.685624,4.62292,-4.626022,10.813237,9.464184,4.6120834,-2.406794,9.372319,8.018469,3.0914507,-2.1562846,7.4511456,3.1497896,5.4799147,-0.86320454,9.15436,45_-30_1.2.wav
60_-15_2.4__1-chunk_0000.wav,0.3490787,1802.3419677298712,1830.6880488515262,3646.2074973366475,0.08572665127840909,NO_drone,-673.75806,71.75685,120.878914,31.488304,-19.434969,32.276234,41.72055,20.002298,-25.287811,26.424252,-26.116278,22.555227,-18.737873,15.269454,-7.3886795,6.6295342,-12.809556,11.390829,0.38882896,9.494182,-15.735764,10.728079,-8.417991,10.087649,1.3778807,5.7791986,60_-15_2.4__1.wav
60_-15_2.4__1-chunk_0001.wav,0.4554941,4057.0484336529826,2002.2770465052056,6037.91015625,0.31643880208333336,NO_drone,-751.9057,51.16947,24.396154,35.15848,14.614842,10.076676,62.447495,24.515583,-64.90378,32.094162,25.096739,14.864702,-6.3194637,7.709807,-2.216821,10.398436,8.905933,4.487851,4.9745765,5.5151815,0.8282557,5.0425887,8.598041,3.466859,1.829816,6.112652,60_-15_2.4__1.wav
90_-15_2.4__5-chunk_0000.wav,0.29690245,1429.5063331075687,1514.5825510781121,2445.486727627841,0.07546164772727272,NO_drone,-666.2641,59.582073,146.83963,45.60302,-9.703044,25.606895,26.837095,27.894285,-25.788342,20.90949,-25.281181,19.945028,-15.3833475,7.961319,-9.656503,11.431245,-13.467728,7.82162,-8.264757,7.22705,-7.954987,14.604658,-8.108596,13.868769,1.4454042,10.896983,90_-15_2.4__5.wav
